datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
9/29/2020 12:00,9/29/2020 8:00,OTHER,0
9/29/2020 11:00,9/29/2020 7:00,MIDATL,21.441
9/29/2020 11:00,9/29/2020 7:00,SOUTH,19.365
9/29/2020 11:00,9/29/2020 7:00,WEST,0.115
9/29/2020 11:00,9/29/2020 7:00,RTO,40.921
9/29/2020 11:00,9/29/2020 7:00,RFC,21.556
9/29/2020 11:00,9/29/2020 7:00,OTHER,0
9/29/2020 10:00,9/29/2020 6:00,MIDATL,-1.144
9/29/2020 10:00,9/29/2020 6:00,SOUTH,-2.139
9/29/2020 10:00,9/29/2020 6:00,WEST,-0.238
9/29/2020 10:00,9/29/2020 6:00,RTO,-3.521
9/29/2020 10:00,9/29/2020 6:00,RFC,-1.382
9/29/2020 10:00,9/29/2020 6:00,OTHER,0
9/29/2020 9:00,9/29/2020 5:00,MIDATL,-1.153
9/29/2020 9:00,9/29/2020 5:00,SOUTH,-2.154
9/29/2020 9:00,9/29/2020 5:00,WEST,-0.235
9/29/2020 9:00,9/29/2020 5:00,RTO,-3.542
9/29/2020 9:00,9/29/2020 5:00,RFC,-1.388
9/29/2020 9:00,9/29/2020 5:00,OTHER,0
9/29/2020 8:00,9/29/2020 4:00,MIDATL,-1.173
9/29/2020 8:00,9/29/2020 4:00,SOUTH,-2.168
9/29/2020 8:00,9/29/2020 4:00,WEST,-0.227
9/29/2020 8:00,9/29/2020 4:00,RTO,-3.568
9/29/2020 8:00,9/29/2020 4:00,RFC,-1.4
9/29/2020 8:00,9/29/2020 4:00,OTHER,0
9/29/2020 7:00,9/29/2020 3:00,MIDATL,-1.184
9/29/2020 7:00,9/29/2020 3:00,SOUTH,-2.224
9/29/2020 7:00,9/29/2020 3:00,WEST,-0.233
9/29/2020 7:00,9/29/2020 3:00,RTO,-3.641
9/29/2020 7:00,9/29/2020 3:00,RFC,-1.417
9/29/2020 7:00,9/29/2020 3:00,OTHER,0
9/29/2020 6:00,9/29/2020 2:00,MIDATL,-1.163
9/29/2020 6:00,9/29/2020 2:00,SOUTH,-2.164
9/29/2020 6:00,9/29/2020 2:00,WEST,-0.236
9/29/2020 6:00,9/29/2020 2:00,RTO,-3.563
9/29/2020 6:00,9/29/2020 2:00,RFC,-1.399
9/29/2020 6:00,9/29/2020 2:00,OTHER,0
9/29/2020 5:00,9/29/2020 1:00,MIDATL,-1.187
9/29/2020 5:00,9/29/2020 1:00,SOUTH,-2.231
9/29/2020 5:00,9/29/2020 1:00,WEST,-0.225
9/29/2020 5:00,9/29/2020 1:00,RTO,-3.643
9/29/2020 5:00,9/29/2020 1:00,RFC,-1.412
9/29/2020 5:00,9/29/2020 1:00,OTHER,0
9/29/2020 4:00,9/29/2020 0:00,MIDATL,-1.176
9/29/2020 4:00,9/29/2020 0:00,SOUTH,-2.11
9/29/2020 4:00,9/29/2020 0:00,WEST,-0.235
9/29/2020 4:00,9/29/2020 0:00,RTO,-3.521
9/29/2020 4:00,9/29/2020 0:00,RFC,-1.411
9/29/2020 4:00,9/29/2020 0:00,OTHER,0
9/29/2020 3:00,9/28/2020 23:00,MIDATL,-1.165
9/29/2020 3:00,9/28/2020 23:00,SOUTH,-1.953
9/29/2020 3:00,9/28/2020 23:00,WEST,-0.242
9/29/2020 3:00,9/28/2020 23:00,RTO,-3.36
9/29/2020 3:00,9/28/2020 23:00,RFC,-1.407
9/29/2020 3:00,9/28/2020 23:00,OTHER,0
9/29/2020 2:00,9/28/2020 22:00,MIDATL,-1.157
9/29/2020 2:00,9/28/2020 22:00,SOUTH,-1.854
9/29/2020 2:00,9/28/2020 22:00,WEST,-0.239
9/29/2020 2:00,9/28/2020 22:00,RTO,-3.25
9/29/2020 2:00,9/28/2020 22:00,RFC,-1.396
9/29/2020 2:00,9/28/2020 22:00,OTHER,0
9/29/2020 1:00,9/28/2020 21:00,MIDATL,-1.152
9/29/2020 1:00,9/28/2020 21:00,SOUTH,-1.946
