datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
9/28/2020 4:00,9/28/2020 0:00,WEST,2066.037
9/28/2020 4:00,9/28/2020 0:00,RTO,2237.679
9/28/2020 4:00,9/28/2020 0:00,RFC,2226.865
9/28/2020 3:00,9/27/2020 23:00,MIDATL,161.668
9/28/2020 3:00,9/27/2020 23:00,SOUTH,5.531
9/28/2020 3:00,9/27/2020 23:00,WEST,2367.17
9/28/2020 3:00,9/27/2020 23:00,RTO,2534.369
9/28/2020 3:00,9/27/2020 23:00,RFC,2528.838
9/28/2020 2:00,9/27/2020 22:00,MIDATL,184.55
9/28/2020 2:00,9/27/2020 22:00,SOUTH,10.247
9/28/2020 2:00,9/27/2020 22:00,WEST,2124.11
9/28/2020 2:00,9/27/2020 22:00,RTO,2318.907
9/28/2020 2:00,9/27/2020 22:00,RFC,2308.66
9/28/2020 1:00,9/27/2020 21:00,MIDATL,197.613
9/28/2020 1:00,9/27/2020 21:00,SOUTH,8.885
9/28/2020 1:00,9/27/2020 21:00,WEST,1920.016
9/28/2020 1:00,9/27/2020 21:00,RTO,2126.514
9/28/2020 1:00,9/27/2020 21:00,RFC,2117.629
9/28/2020 0:00,9/27/2020 20:00,MIDATL,219.491
9/28/2020 0:00,9/27/2020 20:00,SOUTH,3.202
9/28/2020 0:00,9/27/2020 20:00,WEST,2355.915
9/28/2020 0:00,9/27/2020 20:00,RTO,2578.608
9/28/2020 0:00,9/27/2020 20:00,RFC,2575.406
9/27/2020 23:00,9/27/2020 19:00,MIDATL,207.332
9/27/2020 23:00,9/27/2020 19:00,SOUTH,7.245
9/27/2020 23:00,9/27/2020 19:00,WEST,2516.615
9/27/2020 23:00,9/27/2020 19:00,RTO,2731.192
9/27/2020 23:00,9/27/2020 19:00,RFC,2723.947
9/27/2020 22:00,9/27/2020 18:00,MIDATL,210.751
9/27/2020 22:00,9/27/2020 18:00,SOUTH,7.156
9/27/2020 22:00,9/27/2020 18:00,WEST,2888.518
9/27/2020 22:00,9/27/2020 18:00,RTO,3106.425
9/27/2020 22:00,9/27/2020 18:00,RFC,3099.269
9/27/2020 21:00,9/27/2020 17:00,MIDATL,196.402
9/27/2020 21:00,9/27/2020 17:00,SOUTH,12.473
9/27/2020 21:00,9/27/2020 17:00,WEST,3014.597
9/27/2020 21:00,9/27/2020 17:00,RTO,3223.472
9/27/2020 21:00,9/27/2020 17:00,RFC,3210.999
9/27/2020 20:00,9/27/2020 16:00,MIDATL,161.93
9/27/2020 20:00,9/27/2020 16:00,SOUTH,8.98
9/27/2020 20:00,9/27/2020 16:00,WEST,2909.286
9/27/2020 20:00,9/27/2020 16:00,RTO,3080.196
9/27/2020 20:00,9/27/2020 16:00,RFC,3071.216
9/27/2020 19:00,9/27/2020 15:00,MIDATL,151.072
9/27/2020 19:00,9/27/2020 15:00,SOUTH,5.067
9/27/2020 19:00,9/27/2020 15:00,WEST,2375.979
9/27/2020 19:00,9/27/2020 15:00,RTO,2532.118
9/27/2020 19:00,9/27/2020 15:00,RFC,2527.051
9/27/2020 18:00,9/27/2020 14:00,MIDATL,123.672
9/27/2020 18:00,9/27/2020 14:00,SOUTH,1.884
9/27/2020 18:00,9/27/2020 14:00,WEST,1963.406
9/27/2020 18:00,9/27/2020 14:00,RTO,2088.962
9/27/2020 18:00,9/27/2020 14:00,RFC,2087.078
9/27/2020 17:00,9/27/2020 13:00,MIDATL,123.116
9/27/2020 17:00,9/27/2020 13:00,SOUTH,0.143
9/27/2020 17:00,9/27/2020 13:00,WEST,1096.216
9/27/2020 17:00,9/27/2020 13:00,RTO,1219.475
9/27/2020 17:00,9/27/2020 13:00,RFC,1219.332
9/27/2020 16:00,9/27/2020 12:00,MIDATL,109.029
9/27/2020 16:00,9/27/2020 12:00,SOUTH,0.692
9/27/2020 16:00,9/27/2020 12:00,WEST,878.656
9/27/2020 16:00,9/27/2020 12:00,RTO,988.377
9/27/2020 16:00,9/27/2020 12:00,RFC,987.685
9/27/2020 15:00,9/27/2020 11:00,MIDATL,66.568
9/27/2020 15:00,9/27/2020 11:00,SOUTH,1.055
9/27/2020 15:00,9/27/2020 11:00,WEST,1309.846
9/27/2020 15:00,9/27/2020 11:00,RTO,1377.469
9/27/2020 15:00,9/27/2020 11:00,RFC,1376.414
9/27/2020 14:00,9/27/2020 10:00,MIDATL,59.73
9/27/2020 14:00,9/27/2020 10:00,SOUTH,-1.566
9/27/2020 14:00,9/27/2020 10:00,WEST,2016.062
9/27/2020 14:00,9/27/2020 10:00,RTO,2074.226
9/27/2020 14:00,9/27/2020 10:00,RFC,2075.792
9/27/2020 13:00,9/27/2020 9:00,MIDATL,98.686
9/27/2020 13:00,9/27/2020 9:00,SOUTH,-0.528
9/27/2020 13:00,9/27/2020 9:00,WEST,2518.473
9/27/2020 13:00,9/27/2020 9:00,RTO,2616.631
9/27/2020 13:00,9/27/2020 9:00,RFC,2617.159
9/27/2020 12:00,9/27/2020 8:00,MIDATL,151.377
9/27/2020 12:00,9/27/2020 8:00,SOUTH,2.955
9/27/2020 12:00,9/27/2020 8:00,WEST,3261.338
9/27/2020 12:00,9/27/2020 8:00,RTO,3415.67
9/27/2020 12:00,9/27/2020 8:00,RFC,3412.715
9/27/2020 11:00,9/27/2020 7:00,MIDATL,167.809
9/27/2020 11:00,9/27/2020 7:00,SOUTH,7.719
